,Unnamed: 0,followers_count,id,link,pop_score,time,text,score,word_counts,eng_perc,platform
353,371,3420,4.65791E+17,https://twitter.com/i/web/status/465790905224404992,0,12/05/2014,Some idiot put handcuffs on the neck of this poor cat. Seen moments ago at BGC 7th cor 32nd near the bus stop.,-0.366666667,23,0.52173913,tw
691,731,77,4.74717E+17,https://twitter.com/i/web/status/474716770897788928,0,06/06/2014,"@prettygrl_rocky @XTinaLilKim83 some1 snap a shot of u getting in &amp; out of the bgc van 1 night yall went out, so the cat is out the big.",0,28,0.392857143,tw
790,836,155,4.84129E+17,https://twitter.com/i/web/status/484129276120539136,0,02/07/2014,is a bunch of cats fighting lol. When they go home an see how they look on tv I'm sure they all wouldn't be pleased at all.,0.6,29,0.379310345,tw
465,485,535,4.85455E+17,https://twitter.com/i/web/status/485454862235074560,0,05/07/2014,Some are good about it like Cat Tiana and Rocky. They cool but a lot of these girls just talk about BGC every day or retweet their fans.,0.525,28,0.428571429,tw
355,373,294,4.86165E+17,https://twitter.com/i/web/status/486164790285332480,0,07/07/2014,2 more hours of bullshit then back to bed to watch bgc and cuddle my cat,0.25,16,0.5,tw
542,570,27,4.90622E+17,https://twitter.com/i/web/status/490622230964219904,0,19/07/2014,@lisa2323lisa I see alot of that at school girls are always cat fighting over something so i have my own bgc at my school in person lol,0.7,27,0.333333333,tw
903,954,1407,4.93654E+17,https://twitter.com/i/web/status/493654381531648000,0,28/07/2014,LD is serving an eviction notice to big guy cat. He's had enough of BGC flaunting his rule free lifestyle.,0.133333333,21,0.476190476,tw
729,771,116,4.94263E+17,https://twitter.com/i/web/status/494263025700851712,0,29/07/2014,Cat was 1 of the sexiest bitches on bgc I ain't lyin,0,13,0.461538462,tw
557,586,1092,4.95801E+17,https://twitter.com/i/web/status/495801494500040704,0,03/08/2014,“@StuckOnLulu: Idk why guys wanna invest their time in me. All I have to offer is BBQ wings and 10 seasons of BGC” &amp; that bomb kitty cat,0,31,0.451612903,tw
615,649,2422,4.96788E+17,https://twitter.com/i/web/status/496788026023247872,0,05/08/2014,Watching Sam &amp; cat untill the new episode of bgc come on.,0.136363636,12,0.5,tw
984,1035,1649,4.96647E+17,https://twitter.com/i/web/status/496646977531441152,1,05/08/2014,Morgan kristen &amp; cat were season 5 of bgc. Like nobody else really mattered,0.2,14,0.5,tw
96,102,638,5.01207E+17,https://twitter.com/i/web/status/501206539001413632,1,18/08/2014,"the fact you take what blu says of of bgc 12 to make you look cool , you look goofy guh ! be inspired not a copy cat",0.4875,26,0.461538462,tw
281,297,11868,5.05247E+17,https://twitter.com/i/web/status/505247363619770368,2,29/08/2014,"Cat McDo. The ""house pet"" of the Mcdonald's branch next to my office at BGC. Its got a lot of TAILS to tell!",0,24,0.416666667,tw
941,992,989,5.09452E+17,https://twitter.com/i/web/status/509451604438044672,0,09/09/2014,@thatssowilma looked like PENCILS not that got a body of Cat from BGC! Within 5 years! I'm just saying a lot can happen in years w/ body's,0,29,0.517241379,tw
462,482,372,5.15308E+17,https://twitter.com/i/web/status/515308101566615552,1,26/09/2014,Making preparations for the Cats of Manila's booth today! We'll be participating in BGC's Paws for a Cause this Sunday! See you there!,0,26,0.423076923,tw
278,294,2120,5.15912E+17,https://twitter.com/i/web/status/515911806812831744,2,27/09/2014,cats of manila event later! go visit kayo sa bgc guys. pwede mag adopt later ng cats! :),0.166666667,17,0.647058824,tw
806,852,3973,5.22421E+17,https://twitter.com/i/web/status/522421057769443328,3,15/10/2014,lol @BadGirlBlondie cat rendition of BGC theme song was absolutely magical,0.65,11,0.454545455,tw
385,403,1106,5.23111E+17,https://twitter.com/i/web/status/523111392640237568,0,17/10/2014,Took a cat nap and had a dream I was fighting... Maybe I shouldn't watch reruns of BGC before I fall asleep lol😂😂😂,0,24,0.5,tw
808,854,339,5.2576E+17,https://twitter.com/i/web/status/525760181448491008,0,24/10/2014,Cat from BGC said he was a phenomenal peach eater lol RT @shaylin_xo: A lot of women always say Drake's neck game is A1 lmaoooooo @keyladoe,0.3,27,0.481481481,tw
274,290,445,5.27939E+17,https://twitter.com/i/web/status/527938932193755136,2,30/10/2014,"""@77th_Soldier: How many of you hoes gon be a cat 2ma""😂😂😂",0.5,12,0.166666667,tw
535,563,11868,5.32336E+17,https://twitter.com/i/web/status/532335747307552768,0,12/11/2014,At Coffeebean in front of the Minicooper store at BGC. Meeting and interview with Cat Nazareno.,0,16,0.375,tw
603,636,78,5.91897E+17,https://twitter.com/i/web/status/591896679374270464,0,25/04/2015,Random thought of the day: burning engine oil smells like stale cat piss in an old couch that you can't get rid of.,-0.3,24,0.583333333,tw
265,280,2527,5.92335E+17,https://twitter.com/i/web/status/592334715085922304,0,26/04/2015,@4evermoreSG_G Sa BGC po ung event nya kanina. May Booth ng cats of Manila and laguna😊,0,16,0.375,tw
633,667,456,5.92227E+17,https://twitter.com/i/web/status/592226647245463552,0,26/04/2015,Photo: Visit the Cats of Manila at their booth here in BGC.,0,12,0.333333333,tw
